# x_m,y_m
61.452940,-244.780134
61.726360,-245.741946
62.001598,-246.703392
62.278770,-247.664283
62.557908,-248.624161
62.839319,-249.583533
63.123145,-250.542342
63.409527,-251.500532
63.698571,-252.457924
63.990320,-253.414119
64.285071,-254.369508
64.582984,-255.324023
64.884221,-256.277595
65.188915,-257.230074
65.497147,-258.181150
65.809174,-259.131066
66.125150,-260.079747
66.445230,-261.027114
66.769555,-261.973047
67.098227,-262.917325
67.431461,-263.860044
67.769409,-264.801114
68.112221,-265.740446
68.460047,-266.677942
68.813027,-267.613487
69.171318,-268.547007
69.535067,-269.478400
69.904419,-270.407563
70.279531,-271.334420
70.660592,-272.258970
71.047688,-273.180960
71.440957,-274.100271
71.840539,-275.016782
72.246600,-275.930440
72.659401,-276.841385
73.078921,-277.749146
73.505284,-278.653579
73.938616,-279.554544
74.379093,-280.452002
74.827089,-281.346251
75.282526,-282.236552
75.745603,-283.122720
76.216517,-284.004570
76.695529,-284.882024
77.183127,-285.755371
77.679202,-286.623738
78.183977,-287.486851
78.697675,-288.344440
79.220639,-289.196423
79.753519,-290.043443
80.295423,-290.884326
80.846055,-291.718995
81.405120,-292.547370
81.972611,-293.369788
82.549558,-294.187934
83.134370,-294.999587
83.726984,-295.804737
84.327338,-296.603374
84.935650,-297.395848
85.552936,-298.183307
86.178196,-298.963880
86.811695,-299.737297
87.453694,-300.503289
88.104611,-301.261761
88.765071,-302.012855
89.434687,-302.755593
90.113596,-303.489620
90.801934,-304.214582
91.500002,-304.930290
92.208225,-305.636662
92.926217,-306.332820
93.654044,-307.018353
94.391774,-307.692854
95.139768,-308.356171
95.898433,-309.008220
96.667062,-309.648059
97.445597,-310.275339
98.233979,-310.889713
99.032566,-311.491141
99.841623,-312.079489
100.660304,-312.653850
101.488495,-313.213876
102.326083,-313.759223
103.173446,-314.289846
104.030655,-314.805452
104.896880,-315.305198
105.771961,-315.788667
106.655738,-316.255442
107.548686,-316.705423
108.450623,-317.138227
109.360552,-317.553197
110.278149,-317.950024
111.203087,-318.328400
112.136179,-318.688448
113.076833,-319.029751
114.023736,-319.351733
114.976474,-319.654171
115.934629,-319.936845
116.899622,-320.200014
117.870276,-320.443138
118.845218,-320.665695
119.824088,-320.867453
120.806525,-321.048178
121.793765,-321.207865
122.784409,-321.345907
123.777529,-321.461779
124.772752,-321.555048
125.769704,-321.625285
126.768529,-321.672048
127.768226,-321.694646
128.768081,-321.692359
129.767477,-321.664468
130.765798,-321.610256
131.764045,-321.528895
132.759330,-321.420012
133.750232,-321.283242
134.735396,-321.118215
135.713984,-320.924452
136.689926,-320.700541
137.657440,-320.448094
138.616534,-320.167841
139.567217,-319.860510
140.508994,-319.527019
141.440738,-319.168766
142.363968,-318.786486
143.278557,-318.381510
144.184379,-317.955168
145.080322,-317.509294
145.965654,-317.045457
146.841897,-316.563797
147.708929,-316.065234
148.566627,-315.550689
149.414581,-315.021269
150.253038,-314.477811
151.082865,-313.920859
151.904642,-313.351141
152.718951,-312.769382
153.523827,-312.178190
154.320799,-311.577498
155.111770,-310.966719
155.897105,-310.346372
156.677175,-309.716977
157.448205,-309.082494
158.213147,-308.441432
158.973897,-307.793036
159.730765,-307.137843
160.484060,-306.476392
161.230226,-305.812682
161.972455,-305.144781
162.712161,-304.472264
163.449697,-303.795646
164.185418,-303.115439
164.916761,-302.434874
165.646319,-301.752376
166.375082,-301.067821
167.103372,-300.381698
167.831513,-299.694502
168.558390,-299.008080
169.285426,-298.321882
170.013235,-297.636112
170.742115,-296.951279
171.472363,-296.267887
172.204639,-295.586104
172.938949,-294.906678
173.675487,-294.230166
174.414531,-293.557049
175.156359,-292.887807
175.903202,-292.221191
176.653882,-291.559061
177.408225,-290.902367
178.166524,-290.251639
178.929071,-289.607407
179.699425,-288.967521
180.475404,-288.334739
181.256611,-287.710281
182.043369,-287.094767
182.836000,-286.488819
183.639091,-285.889909
184.449377,-285.301428
185.266328,-284.724577
186.090130,-284.160018
186.920968,-283.608413
187.763841,-283.067388
188.614689,-282.540509
189.473402,-282.028643
190.340258,-281.532402
191.215589,-281.052370
192.101798,-280.588033
192.996599,-280.141207
193.899845,-279.712469
194.811388,-279.302394
195.731155,-278.911528
196.659386,-278.540253
197.595402,-278.189198
198.538986,-277.858764
199.489920,-277.549357
200.447634,-277.261479
201.411087,-276.995789
202.380837,-276.752612
203.356365,-276.532626
204.337148,-276.336508
205.322801,-276.164912
206.312765,-276.018449
207.305894,-275.897691
208.301273,-275.803158
209.297988,-275.735369
210.295776,-275.694805
211.294323,-275.681396
212.293014,-275.694381
213.291996,-275.732924
214.291412,-275.796187
215.286059,-275.882806
216.277103,-275.991703
217.267856,-276.122260
218.257735,-276.273565
219.246157,-276.444706
220.228261,-276.633906
221.205589,-276.840509
222.180129,-277.064136
223.151531,-277.303979
224.119450,-277.559231
225.081995,-277.828649
226.040037,-278.111793
226.994511,-278.408338
227.945629,-278.717763
228.893602,-279.039545
229.835735,-279.372115
230.773807,-279.715378
231.708977,-280.069075
232.641212,-280.432531
233.570480,-280.805075
234.495314,-281.185438
235.416648,-281.573346
236.335174,-281.968473
237.251003,-282.370254
238.164244,-282.778126
239.075099,-283.191573
239.983605,-283.610062
240.889806,-284.033095
241.793784,-284.460194
242.695621,-284.890879
243.596975,-285.325435
244.497055,-285.763017
245.395298,-286.202893
246.291825,-286.644661
247.186758,-287.087920
248.082383,-287.533324
248.977799,-287.979727
249.872559,-288.426064
250.767129,-288.871725
251.661973,-289.316097
252.558311,-289.758946
253.456047,-290.199413
254.355219,-290.636729
255.256157,-291.070268
256.159188,-291.499406
257.064603,-291.923545
257.972519,-292.342398
258.882951,-292.755831
259.795904,-293.163707
260.711384,-293.565889
261.629380,-293.962243
262.549879,-294.352722
263.472852,-294.737313
264.398265,-295.115999
265.326082,-295.488765
266.256256,-295.855589
267.188760,-296.216455
268.123560,-296.571342
269.060620,-296.920228
269.999902,-297.263091
270.941365,-297.599908
271.884977,-297.930656
272.830702,-298.255310
273.778503,-298.573848
274.728345,-298.886244
275.680201,-299.192477
276.634026,-299.492521
277.589779,-299.786350
278.547422,-300.073940
279.506916,-300.355266
280.468257,-300.630314
281.431376,-300.899049
282.396230,-301.161446
283.362783,-301.417482
284.330994,-301.667131
285.300876,-301.910381
286.272342,-302.147197
287.245346,-302.377551
288.219847,-302.601419
289.195804,-302.818777
290.173256,-303.029616
291.152086,-303.233895
292.132247,-303.431588
293.113697,-303.622670
294.096394,-303.807116
295.080398,-303.984920
296.065567,-304.156038
297.051856,-304.320447
298.039220,-304.478123
299.027619,-304.629043
300.017120,-304.773199
301.007565,-304.910552
301.998908,-305.041078
302.991100,-305.164755
303.984103,-305.281561
304.977999,-305.391487
305.972607,-305.494495
306.967877,-305.590561
307.963764,-305.679663
308.960230,-305.761779
309.957362,-305.836895
310.954967,-305.904976
311.952997,-305.965998
312.951404,-306.019938
313.950154,-306.066773
314.949317,-306.106482
315.948709,-306.139034
316.948280,-306.164400
317.947980,-306.182556
318.947776,-306.193474
319.947715,-306.197128
320.947628,-306.193493
321.947462,-306.182547
322.947161,-306.164265
323.946695,-306.138624
324.946095,-306.105598
325.945196,-306.065168
326.943943,-306.017311
327.942277,-305.962008
328.940170,-305.899233
329.937643,-305.828960
330.934532,-305.751173
331.930776,-305.665852
332.926316,-305.572974
333.921125,-305.472515
334.915212,-305.364445
335.908414,-305.248753
336.900668,-305.125417
337.891912,-304.994418
338.882118,-304.855729
339.871285,-304.709318
340.859249,-304.555179
341.845946,-304.393291
342.831309,-304.223633
343.815311,-304.046178
344.797936,-303.860895
345.779024,-303.667780
346.758508,-303.466813
347.736317,-303.257973
348.712423,-303.041233
349.686793,-302.816561
350.659275,-302.583958
351.629795,-302.343404
352.598279,-302.094881
353.564697,-301.838359
354.529002,-301.573811
355.491044,-301.301236
356.450745,-301.020618
357.408028,-300.731938
358.362859,-300.435165
359.315177,-300.130275
360.264835,-299.817272
361.211751,-299.496143
362.155841,-299.166874
363.097058,-298.829437
364.035329,-298.483809
364.970526,-298.129985
365.902565,-297.767942
366.831365,-297.397658
367.756809,-297.019125
368.678802,-296.632309
369.597276,-296.237148
370.512128,-295.833592
371.423253,-295.421594
372.330446,-295.001156
373.233631,-294.572284
374.132824,-294.134997
375.027952,-293.689357
375.918940,-293.235425
376.805655,-292.773298
377.688056,-292.303057
378.566149,-291.824785
379.439895,-291.338592
380.309253,-290.844585
381.174187,-290.342871
382.034665,-289.833561
382.890660,-289.316764
383.742146,-288.792591
384.589100,-288.261152
385.431537,-287.722528
386.269425,-287.176840
387.102730,-286.624206
387.931443,-286.064735
388.755553,-285.498532
389.575082,-284.925680
390.390004,-284.346283
391.200295,-283.760437
392.005945,-283.168228
392.806945,-282.569740
393.603266,-281.965073
394.394907,-281.354292
395.181859,-280.737459
395.964107,-280.114642
396.741637,-279.485909
397.514356,-278.851391
398.282303,-278.211112
399.045493,-277.565117
399.803914,-276.913470
400.557555,-276.256237
401.306272,-275.593599
402.050153,-274.925537
402.789223,-274.252081
403.523475,-273.573295
404.252898,-272.889239
404.977308,-272.200146
405.696840,-271.505950
406.411533,-270.806679
407.121384,-270.102395
407.826392,-269.393164
408.526325,-268.679289
409.221396,-267.960646
409.911668,-267.237266
410.597165,-266.509223
411.277910,-265.776590
411.953594,-265.039795
412.624506,-264.298582
413.290684,-263.552949
413.952120,-262.802939
414.608808,-262.048598
415.260365,-261.290415
415.907144,-260.528053
416.549191,-259.761532
417.186516,-258.990912
417.819127,-258.216257
418.446671,-257.438082
419.069515,-256.656032
419.687705,-255.870140
420.301264,-255.080472
420.910214,-254.287092
421.514229,-253.490527
422.113673,-252.690396
422.708587,-251.886738
423.298994,-251.079612
423.884920,-250.269077
424.466042,-249.455679
425.042733,-248.638998
425.615029,-247.819078
426.182957,-246.995974
426.746545,-246.169739
427.305471,-245.340951
427.860119,-244.509143
428.410519,-243.674364
428.956702,-242.836666
429.498694,-241.996104
430.036183,-241.153267
430.569552,-240.307662
431.098833,-239.459335
431.624058,-238.608332
432.145253,-237.754712
432.662110,-236.899084
433.175017,-236.040920
433.684005,-235.180263
434.189111,-234.317155
434.690357,-233.451657
435.187448,-232.584364
435.680691,-231.714722
436.170051,-230.842744
436.655492,-229.968442
437.136971,-229.091843
437.614230,-228.213374
438.087468,-227.332628
438.556650,-226.449626
439.021741,-225.564386
439.482703,-224.676934
439.939402,-223.787474
440.391891,-222.895829
440.840121,-222.002012
441.284041,-221.106036
441.723602,-220.207913
442.158760,-219.307680
442.589549,-218.405351
443.016004,-217.500960
443.438163,-216.594546
443.856060,-215.686146
444.269716,-214.775876
444.679275,-213.863730
445.084861,-212.949784
445.486597,-212.034112
445.884606,-211.116791
446.278969,-210.197982
446.669835,-209.277658
447.057308,-208.355883
